ID,MO,YLD,HT
265,0.96322,-0.593539,-0.488388
266,0.903584,0.00229394,0.0885192
267,1.30266,-0.901169,-0.0686646
268,0.593623,1.64267,1.97048
269,1.32193,-0.880605,-0.535968
270,0.95212,-0.355815,-0.57845
271,-0.242044,2.128,1.63062
272,0.700688,-0.122129,0.101264
273,0.246429,0.858063,1.03502
274,0.553518,-0.154374,-0.590345
275,-1.43238,1.61187,1.29416
276,-0.285552,0.308412,0.780978
277,1.88134,-1.11122,-0.0686646
278,0.452128,0.237909,0.908424
279,0.190044,1.00905,1.29076
280,0.248087,0.248276,0.00950249
281,0.5513,-0.474805,0.101264
282,1.19796,-0.520018,-1.21398
283,0.76763,0.0865403,-1.25816
284,0.0711029,0.317024,0.441121
285,0.804691,-0.426061,-1.42809
286,0.312402,-0.743873,-0.550128
287,0.631981,0.382385,0.441121
288,0.510729,0.660034,0.260147
289,0.511226,0.847127,1.29076
290,0.913347,-0.292676,0.309426
291,-0.931275,0.435944,-0.959939
292,0.67227,0.96119,-1.25816
293,1.25612,-0.151972,-0.705896
294,0.933033,0.365938,-0.67191
295,0.804027,-1.22126,-2.27773
296,0.836021,0.448796,-0.260684
297,0.903899,-1.44916,-1.30999
298,1.27475,-0.119535,-0.918307
299,0.768121,-1.46564,-2.10356
300,-0.824205,0.0438738,-0.202483
301,0.696533,-1.62076,-0.0403432
302,0.13364,0.885559,0.86934
303,-0.872954,0.374264,1.29699
304,-0.398657,-0.226613,-0.931476
305,-0.214917,-1.19366,-1.06147
306,1.44069,-0.553509,-0.0686646
307,0.475332,-0.386737,-0.32823
308,0.918858,-0.99988,-1.80108
309,0.394758,-0.579294,-0.748378
310,-0.227132,1.7692,0.258448
311,-1.52371,0.852504,-1.6405
312,-0.348809,1.02818,0.271192
313,0.575013,-0.45023,-1.25816
314,1.45854,-0.324165,0.0868199
315,0.664284,0.747208,0.803918
316,-0.891251,0.488992,1.46069
317,0.397328,0.0839826,-0.57845
318,-0.447805,0.830848,0.667692
319,0.891799,-0.581837,-0.669362
320,1.62644,-0.852495,0.271192
321,-2.61556,-0.763283,-0.166373
322,-1.34255,3.94351,0.611049
323,-1.74033,-1.40406,0.487851
324,-1.43085,0.118694,1.48278
325,-1.38432,-0.0424218,1.40716
326,-0.673916,0.119234,-3.11123
327,-1.3693,0.978986,1.12933
328,0.36683,-1.8556,-1.93788
329,-2.54304,2.92591,1.46069
330,1.24015,-2.31766,-1.08824
331,-2.3798,-0.505618,0.908424
332,-1.52417,0.397304,-0.720057
333,-0.858272,-0.579142,-1.63031
334,-0.637028,0.0439751,-0.226698
335,-0.16539,-0.305815,-1.45528
336,-0.830339,0.675925,0.758887
337,-1.12145,-0.0795574,-0.748378
338,0.347333,-0.561642,-0.209705
339,0.0537317,0.455743,0.87019
340,0.161903,0.511381,0.690915
341,-1.75511,0.72095,-0.394927
342,-1.78632,0.87351,0.248252
343,-0.451066,-0.534268,-1.68298
344,-0.920459,-0.198733,0.101264
345,1.35305,-0.486988,-1.1647
346,-0.989741,-1.11534,0.441121
347,-1.07438,2.62865,1.46069
348,0.856606,-0.358032,0.604252
349,0.26672,-0.64836,-0.509204
350,-1.61828,-0.61506,0.780978
351,-0.612302,0.6207,0.141197
352,-1.5087,0.07103,0.228285
353,-1.41709,0.823689,0.859994
354,-1.85609,1.00166,1.96623
355,-1.97903,-0.110611,0.904176
356,-0.687887,1.47067,1.63062
357,-2.05528,0.946054,1.72833
358,0.502419,-0.956103,1.46069
359,-1.87852,-1.8693,-0.875825
360,-0.815478,1.26469,1.15227
361,-1.03116,-0.314049,1.46069
362,-0.751884,0.487973,1.4318
363,-1.64318,0.0253996,0.437722
364,-0.282844,0.238274,1.0792
365,-1.44825,0.797351,1.23129
366,0.00507013,-0.016637,0.780978
367,0.334858,-0.821501,-1.05255
368,-0.487299,0.791815,1.29076
369,1.38786,-0.90234,-0.408521
370,-0.158075,-1.3137,-0.705896
371,0.704735,-0.376196,-1.59122
372,1.17451,-0.619404,-1.25646
373,-1.90057,0.148796,1.62637
374,0.389178,-0.754789,-1.30192
375,-0.214281,-1.23656,-1.34313
376,0.778558,-2.18222,-1.00327
377,-1.35356,-0.773295,0.622944
378,-1.26931,1.23991,0.735097
379,1.67586,-0.363432,-0.304015
380,-0.679297,0.646573,0.119956
381,-0.861784,1.52076,2.3953
382,0.442269,-0.120377,0.0825717
383,0.376759,0.0872186,-0.238593
384,0.293868,-1.40866,-0.730111
385,1.45958,-0.353421,0.0978653
386,-0.492909,-0.117455,-0.053371
387,-0.884628,2.45396,1.70454
388,-0.764027,-0.0308528,0.611474
389,-0.109718,0.115251,0.15819
390,-0.793335,-0.0923377,1.05626
391,0.122723,-0.0736946,-0.285748
392,-0.373277,0.430056,1.11786
393,-1.13076,1.98377,1.9127
394,0.0736209,1.36998,0.950906
395,1.2671,-1.40762,-1.13157
396,0.00615003,-1.2353,-3.12738
397,-0.239852,-0.850704,-2.39102
398,0.508322,-1.51388,-2.77308
399,0.567371,-1.54905,-2.67367
400,0.747552,-1.62797,-1.95232
401,1.85304,-1.22372,-1.49351
402,1.71622,-0.933858,-1.42809
403,-1.90129,1.57376,1.29076
404,-2.54647,0.381514,1.84983
405,0.0285258,-0.229907,0.436023
406,-0.0295558,0.220258,-0.166798
407,0.281775,0.418824,-0.156178
408,0.333267,-1.38474,-2.07637
409,-1.52414,2.33175,-0.408521
410,1.39972,-0.615388,0.523536
411,-2.6488,0.120336,0.720653
412,0.893251,0.0834484,-0.748378
413,0.35393,-0.901061,-0.939548
414,1.0582,-0.58318,-0.824846
415,-0.689145,0.43186,0.824309
416,-0.50461,0.193583,1.60428
417,-0.790447,0.724761,1.81301
418,0.241776,-1.41261,0.186228
419,0.608024,-1.47549,-1.47057
420,0.248423,-0.707807,-0.57845
421,0.3064,-0.665069,-0.0402016
422,0.889078,-0.532143,-0.429762
423,-2.03207,-0.360997,1.48901
424,0.137979,-1.45222,-0.833343
425,1.22854,-0.507463,-0.834192
426,1.60395,-0.862957,-1.76795
427,-0.545691,1.09364,0.521837
428,-0.0420476,0.0308226,-0.3802
429,-1.27787,-0.323716,0.483603
430,-0.088407,0.130085,0.428093
431,-0.9554,-1.00995,-1.1732
432,-2.75129,-0.386154,-1.76795
433,-0.374677,-0.449431,-0.664689
434,-0.200056,-0.514606,-0.840564
435,0.703201,-0.664777,-0.436843
436,0.354953,-0.699902,-0.100526
437,0.651131,-0.881618,-1.08824
438,0.145902,-0.787203,-0.858832
439,-1.69977,0.369756,0.0451875
440,-0.218837,-0.860485,-0.954841
441,-1.44169,0.423461,-0.380766
442,0.185959,0.884627,0.388868
443,0.0185465,0.845879,0.548176
444,-0.253246,1.23044,0.471425
445,-0.111412,1.54104,0.660328
446,-0.760565,-0.469873,-0.593319
447,-0.416006,0.332556,1.28651
448,-0.814764,-0.546753,0.487851
449,0.291181,-0.23983,-0.40484
450,0.101626,-0.707091,0.186228
